
1,Epic World,Dan Taylor,Language,14,44.23
2,Fantastic Mind,Roy Taylor,Math,4,113.14
3,Mystery Code,Rick Jackson,Language,15,28.28
4,Epic Truth,Alex Brown,Novel,18,40.4
5,Modern Formula,Dan Jackson,Language,16,64.87
6,Blueprint,Joe Anderson,Physic,15,101.89
7,Food Theory,Joe Moore,Cooking,19,85.17
8,Brilliant World,Dan Jackson,History,12,67.31
9,Cookbook,Dan Thomas,Financial,20,87.36
10,Adventure,Morgan Thomas,Math,3,8.68
11,Epic Blueprint,Jim Brown,Biology,17,89.52
12,Lost Language,Morgan Jackson,Novel,17,138.26
13,Brilliant Cookbook,Alex Taylor,Physic,10,178.4
14,Curious Recipe,Rick Thomas,History,13,59.25
15,Lost Adventure,Casey Taylor,Astronomy,11,102.35
16,Mystery Future,Casey Jackson,History,6,125.91
17,Epic Formula,Roy Lee,Sport,8,116.18
18,Mystery Adventure,Sam Thomas,Novel,13,196.35
19,Ancient Blueprint,Rick Jackson,Physic,10,41.4
20,Silent Journey,Taylor Anderson,Physic,20,97.42
21,Science Truth,Roy Johnson,History,12,125.2
22,Epic Blueprint,Casey Moore,Chemisty,11,37.02
23,Curious Code,Casey Jackson,Language,8,126.4
24,Fantastic Formula,Sam Jackson,Novel,18,26.92
25,Silent Truth,Sam Moore,Technology,8,102.6
26,Mystery Formula,Taylor Thomas,Physic,3,14.44
27,Science Galaxy,Jim Smith,Financial,13,37.96
28,Brilliant Blueprint,Roy Thomas,Language,12,18.9
29,Mystery Adventure,Morgan Wilson,Financial,7,15.85
30,Science Journey,Rick Anderson,Financial,15,52.51
31,Fantastic Galaxy,Joe Lee,Math,3,168.22
32,Secret Blueprint,Rick Moore,Physic,14,62.85
33,Practical History,Roy Smith,Chemisty,7,147.11
34,Lost Journey,Jim Taylor,Chemisty,11,154.77
35,Silent Galaxy,Jim Moore,Biology,7,86.94
36,Silent Future,Alex Moore,Cooking,6,85.95
37,Secret Code,Taylor Johnson,History,20,84.06
38,Lost History,Sam Anderson,Math,16,44.36
39,Brilliant Galaxy,Rick Brown,Sport,4,42.89
40,Modern Code,Sam Brown,History,14,28.55
41,Fantastic Language,Casey Wilson,Financial,3,22.98
42,Secret Blueprint,Jim Taylor,Language,6,38.01
43,Silent Cookbook,Alex Thomas,Sport,19,54.59
44,Lost Adventure,Morgan Anderson,Chemisty,5,64.28
45,Food Theory,Rick Anderson,Cooking,4,18.75
46,Silent Adventure,Dan Jackson,Financial,20,170.87
47,Epic Code,Casey Brown,Math,9,148.85
48,Fantastic Cookbook,Alex Thomas,Physic,16,51.6
49,Brilliant Truth,Sam Smith,Chemisty,11,159.74
50,Secret Journey,Morgan Smith,Language,19,198.22
51,Lost Recipe,Roy Lee,Chemisty,15,127.03
52,Silent History,Sam Thomas,Chemisty,14,77.04
53,Practical Galaxy,Roy Smith,Biology,8,71.87
54,Mystery Mind,Alex Thomas,Novel,18,145.25
55,Silent Theory,Sam Wilson,Language,19,45.05
56,Practical Blueprint,Sam Taylor,Cooking,20,135.02
57,Ancient Cookbook,Rick Johnson,Cooking,17,150.2
58,Ancient World,Taylor Thomas,Chemisty,18,123.87
59,Fantastic Blueprint,Alex Wilson,Technology,18,77.25
60,Silent Truth,Casey Taylor,Physic,20,107.86
61,Secret Galaxy,Taylor Wilson,History,16,91.86
62,Silent Cookbook,Alex Jackson,Cooking,7,188.19
63,Brilliant Mind,Casey Thomas,Biology,14,97.46
64,Practical Theory,Alex Moore,Biology,13,167.49
65,Modern Mind,Jim Wilson,Physic,8,68.35
66,Fantastic World,Sam Smith,Technology,17,126.69
67,Practical Language,Casey Lee,Astronomy,13,89.4
68,Epic Truth,Casey Jackson,Technology,18,136.26
69,Modern World,Morgan Johnson,Astronomy,20,130.67
70,Science Journey,Alex Moore,Astronomy,11,192.16
71,Science Language,Sam Wilson,Math,10,165.84
72,Mystery Blueprint,Casey Lee,Astronomy,9,42.03
73,Fantastic Truth,Taylor Brown,Cooking,8,33.2
74,Silent Adventure,Alex Johnson,Sport,10,20.5
75,Lost Formula,Joe Smith,Technology,10,110.42
76,Secret Formula,Roy Wilson,Language,6,118.06
77,Hidden History,Sam Johnson,Technology,18,81.48
78,Brilliant Mind,Roy Johnson,Cooking,6,103.51
79,Modern Journey,Roy Johnson,History,19,105.98
80,Curious Adventure,Jim Wilson,Technology,19,179.44
81,Incredible Code,Rick Taylor,Financial,8,47.98
82,Practical History,Jim Brown,Math,9,15.92
83,Brilliant Formula,Dan Johnson,Math,6,48.66
84,Incredible Journey,Dan Moore,Sport,19,168.07
85,Mystery Future,Casey Moore,Astronomy,10,80.38
86,Fantastic History,Roy Thomas,Technology,10,41.95
87,Silent Code,Roy Thomas,Sport,8,19.68
88,Lost Future,Joe Wilson,Cooking,7,16.0
89,Lost Truth,Rick Wilson,History,5,28.02
90,Incredible Adventure,Casey Wilson,Chemisty,8,179.27
91,Fantastic History,Morgan Thomas,Astronomy,16,177.48
92,Practical Code,Rick Moore,Technology,9,114.14
93,Practical World,Casey Taylor,Technology,10,33.33
94,Curious Formula,Joe Wilson,Astronomy,14,95.7
95,Mystery Recipe,Roy Jackson,Chemisty,14,123.33
96,Fantastic Truth,Sam Anderson,History,8,11.56
97,Mystery Truth,Rick Smith,Math,7,11.62
98,Lost History,Rick Johnson,Sport,15,23.18
99,Modern World,Dan Johnson,Technology,3,49.29
100,Mystery Recipe,Morgan Lee,Financial,17,155.11
